Source identifier ,Plume latitude (deg),Plume longitude (deg),Candidate identifier,Date of detection,Time of detection (UTC),Qplume (kg/hr): Plume emissions,Sigma Qplume (kg/hr): Uncertainty for plume emissions,Active flare detected?,Inactive flare detected?
P00001,32.21206321,-103.6970761,ang20190922t192642-2,9/22/2019,19:26:42,2579.5281,902.732655,FALSE,FALSE
P00002,32.20007183,-103.6733013,ang20190922t192642-4,9/22/2019,19:26:42,420.725207,147.155782,FALSE,FALSE
P00003,32.11600784,-103.6263451,ang20190922t192642-5,9/22/2019,19:26:42,1051.9096,339.267587,FALSE,FALSE
P00004,32.32259369,-103.8160722,ang20190922t194340-1,9/22/2019,19:43:40,1736.64425,1035.42767,FALSE,FALSE
P00005,32.28408292,-103.7939892,ang20190922t194340-2,9/22/2019,19:43:40,870.605019,435.968147,FALSE,FALSE
P00006,32.99862282,-102.8122619,ang20190922t203229-2,9/22/2019,20:32:29,4437.72311,2268.54372,FALSE,FALSE
P00007,32.02802214,-103.5707453,ang20190923t170747-12,9/23/2019,17:07:47,753.524542,149.873151,FALSE,FALSE
P00008,32.32276356,-103.8142947,ang20190923t170747-3,9/23/2019,17:07:47,2054.53964,467.87115,FALSE,FALSE
P00009,32.27338462,-103.7982101,ang20190923t170747-4,9/23/2019,17:07:47,1365.64517,323.122588,FALSE,FALSE
P00010,32.26425249,-103.771502,ang20190923t170747-5,9/23/2019,17:07:47,1582.97491,275.998471,FALSE,FALSE
P00011,31.91262444,-103.5361788,ang20190923t172416-19,9/23/2019,17:24:16,3125.75665,569.700829,FALSE,FALSE
P00012,32.10884742,-103.7698814,ang20190923t174142-11,9/23/2019,17:41:42,5665.2427,841.892531,FALSE,FALSE
P00013,32.03469747,-103.6869869,ang20190923t174142-14,9/23/2019,17:41:42,375.447796,130.455319,FALSE,TRUE
P00014,31.95176429,-103.6134591,ang20190923t174142-16,9/23/2019,17:41:42,1120.37959,193.292015,FALSE,FALSE
P00015,31.93005372,-103.6215938,ang20190923t174142-17,9/23/2019,17:41:42,731.195758,160.263873,FALSE,TRUE
P00016,31.67804299,-103.3895717,ang20190923t174142-22,9/23/2019,17:41:42,1325.8317,195.845623,FALSE,FALSE
P00017,32.24555659,-103.9628398,ang20190923t181729-1,9/23/2019,18:17:29,1375.65445,462.580541,FALSE,FALSE
P00018,31.64552259,-103.5277496,ang20190923t183439-10,9/23/2019,18:34:39,744.746832,265.20776,FALSE,FALSE
P00019,32.18623943,-103.9919408,ang20190923t183439-2,9/23/2019,18:34:39,2834.59614,588.83415,FALSE,FALSE
P00020,31.7026223,-103.5801601,ang20190923t183439-8,9/23/2019,18:34:39,467.889743,191.734477,FALSE,FALSE
P00021,32.15037748,-103.9958775,ang20190923t185208-1,9/23/2019,18:52:08,1021.17792,301.723415,FALSE,FALSE
P00022,32.04321038,-103.9369113,ang20190923t185208-3,9/23/2019,18:52:08,1853.45163,385.575874,FALSE,FALSE
P00022,32.04306164,-103.9368825,ang20190923t190921-3,9/23/2019,19:09:21,1632.80026,334.841541,FALSE,FALSE
P00023,31.91630253,-103.8596866,ang20190923t190921-5,9/23/2019,19:09:21,1070.42914,497.245324,FALSE,FALSE
P00024,32.10902565,-104.0446541,ang20190923t192543-4,9/23/2019,19:25:43,227.140694,123.567772,FALSE,FALSE
P00025,31.71212946,-103.7658277,ang20190923t192543-8,9/23/2019,19:25:43,1986.21993,997.300403,FALSE,TRUE
P00025,31.71120487,-103.7662359,ang20190923t194235-5,9/23/2019,19:42:35,1462.8549,768.422761,FALSE,TRUE
P00026,31.50210497,-103.6216263,ang20190923t194235-8,9/23/2019,19:42:35,153.294905,73.3833248,FALSE,FALSE
P00027,32.15091349,-104.1965897,ang20190923t195907-1,9/23/2019,19:59:07,2277.54531,660.369969,FALSE,FALSE
P00028,32.43894753,-101.9477473,ang20190924t165509-1,9/24/2019,16:55:09,874.760587,141.130008,FALSE,TRUE
P00029,32.20287949,-101.9448249,ang20190924t165836-2,9/24/2019,16:58:36,3136.96321,393.087746,FALSE,FALSE
P00030,31.55292016,-101.9331152,ang20190924t165836-6,9/24/2019,16:58:36,1745.21488,263.804647,FALSE,FALSE
P00031,32.24409475,-101.9036812,ang20190924t172057-1,9/24/2019,17:20:57,3308.12158,824.30039,FALSE,FALSE
P00032,31.91077569,-101.8663757,ang20190924t174538-5,9/24/2019,17:45:38,1744.57611,332.68256,TRUE,FALSE
P00033,32.32396913,-101.8122095,ang20190924t181121-2,9/24/2019,18:11:21,2657.45291,514.00473,FALSE,FALSE
P00034,31.64635027,-101.7645351,ang20190924t183641-4,9/24/2019,18:36:41,11164.8973,2101.98628,FALSE,TRUE
P00035,31.948482,-104.2798787,ang20190926t152524-1,9/26/2019,15:25:24,369.211195,236.503631,FALSE,FALSE
P00036,31.74041195,-104.1387873,ang20190926t152524-2,9/26/2019,15:25:24,3723.63001,930.609239,FALSE,FALSE
P00037,31.62720076,-104.036365,ang20190926t152524-5,9/26/2019,15:25:24,495.990285,244.031926,FALSE,FALSE
P00038,31.78033935,-104.096685,ang20190926t154314-3,9/26/2019,15:43:14,2850.47977,784.608655,FALSE,FALSE
P00039,31.74223913,-104.083175,ang20190926t154314-4,9/26/2019,15:43:14,643.698816,135.073787,FALSE,FALSE
P00040,31.64865214,-104.0122802,ang20190926t154314-6,9/26/2019,15:43:14,813.08473,207.019278,FALSE,FALSE
P00041,31.64782743,-103.9639111,ang20190926t154314-7,9/26/2019,15:43:14,1184.89086,347.722116,FALSE,FALSE
P00042,31.66675632,-103.9803689,ang20190926t160016-2,9/26/2019,16:00:16,852.090745,202.888388,TRUE,FALSE
P00041,31.64810993,-103.964228,ang20190926t160016-3,9/26/2019,16:00:16,1855.4302,354.561628,FALSE,FALSE
P00043,31.48263936,-103.812315,ang20190926t160016-6,9/26/2019,16:00:16,773.303494,135.258391,FALSE,FALSE
P00044,31.47492344,-103.7972819,ang20190926t160016-7,9/26/2019,16:00:16,482.992296,213.650472,FALSE,FALSE
P00045,31.99540097,-104.1751575,ang20190926t161748-2,9/26/2019,16:17:48,304.062294,181.759059,FALSE,FALSE
P00046,31.99809825,-104.1261868,ang20190926t163428-2,9/26/2019,16:34:28,681.518343,366.351585,FALSE,FALSE
P00047,31.89610789,-104.0477779,ang20190926t163428-3,9/26/2019,16:34:28,287.77739,66.3277359,FALSE,FALSE
P00048,31.89540017,-104.0316202,ang20190926t163428-4,9/26/2019,16:34:28,743.01428,314.649926,FALSE,FALSE
P00049,32.17114601,-104.2419225,ang20190926t171159-1,9/26/2019,17:11:59,304.964239,153.186271,FALSE,FALSE
P00050,32.0260547,-104.1179316,ang20190926t171159-3,9/26/2019,17:11:59,244.192824,100.517178,FALSE,FALSE
P00051,32.06626182,-104.0475269,ang20190926t172904-1,9/26/2019,17:29:04,440.389173,132.098576,FALSE,FALSE
P00052,31.89602443,-103.9459305,ang20190926t172904-3,9/26/2019,17:29:04,1815.02102,436.361414,FALSE,FALSE
P00024,32.10908349,-104.04463,ang20190926t174644-1,9/26/2019,17:46:44,332.116939,134.029326,FALSE,FALSE
P00051,32.06637516,-104.0474757,ang20190926t174644-2,9/26/2019,17:46:44,1255.80753,587.531246,FALSE,FALSE
P00053,31.99931346,-103.9858983,ang20190926t174644-3,9/26/2019,17:46:44,1012.5479,382.948123,FALSE,FALSE
P00054,31.91251727,-103.8883826,ang20190926t174644-4,9/26/2019,17:46:44,560.085729,227.062957,FALSE,FALSE
P00055,32.19499938,-104.0705143,ang20190926t180335-1,9/26/2019,18:03:35,936.65357,376.659867,TRUE,FALSE
P00056,31.99531572,-103.9148813,ang20190926t180335-5,9/26/2019,18:03:35,1972.8963,548.540959,FALSE,FALSE
P00023,31.91618805,-103.8584224,ang20190926t180335-6,9/26/2019,18:03:35,835.602765,328.369761,FALSE,FALSE
P00057,31.56386232,-103.556287,ang20190926t180335-7,9/26/2019,18:03:35,966.994118,283.1449,FALSE,FALSE
P00058,32.21838267,-104.0325673,ang20190926t182043-1,9/26/2019,18:20:43,638.376914,138.359746,FALSE,FALSE
P00059,32.17229706,-104.0247116,ang20190926t182043-3,9/26/2019,18:20:43,918.283089,236.23483,FALSE,FALSE
P00021,32.15032691,-103.9958574,ang20190926t182043-4,9/26/2019,18:20:43,462.973832,129.63305,FALSE,FALSE
P00060,31.61414115,-103.5529726,ang20190926t182043-8,9/26/2019,18:20:43,922.870425,236.651052,FALSE,FALSE
P00061,32.25232975,-104.0273172,ang20190926t184029-1,9/26/2019,18:40:29,150.616978,66.7238543,FALSE,FALSE
P00062,32.21073706,-103.9632093,ang20190926t184029-3,9/26/2019,18:40:29,912.859719,294.459819,FALSE,FALSE
P00020,31.70248344,-103.5801305,ang20190926t184029-4,9/26/2019,18:40:29,745.016475,208.691631,FALSE,FALSE
P00063,31.67501262,-103.5704761,ang20190926t184029-5,9/26/2019,18:40:29,1117.67458,376.654788,FALSE,FALSE
P00064,31.64740296,-103.5169048,ang20190926t184029-6,9/26/2019,18:40:29,2129.60133,625.971445,FALSE,FALSE
P00065,32.25343328,-103.9682814,ang20190926t185727-1,9/26/2019,18:57:27,1000.84429,364.497014,FALSE,FALSE
P00062,32.21149165,-103.9633894,ang20190926t185727-2,9/26/2019,18:57:27,1885.82581,463.636708,FALSE,FALSE
P00066,31.97089694,-103.767776,ang20190926t185727-3,9/26/2019,18:57:27,504.584706,181.72747,FALSE,FALSE
P00067,31.95992243,-103.7403354,ang20190926t185727-4,9/26/2019,18:57:27,440.230591,69.0884189,FALSE,TRUE
P00068,32.26317111,-103.9341444,ang20190926t191417-1,9/26/2019,19:14:17,710.047746,185.067501,FALSE,TRUE
P00069,31.79424269,-103.5609677,ang20190926t191417-4,9/26/2019,19:14:17,810.678039,315.784322,FALSE,FALSE
P00070,31.74183657,-103.4972104,ang20190926t191417-5,9/26/2019,19:14:17,1111.36052,223.990658,FALSE,FALSE
P00071,31.63225099,-103.4329122,ang20190926t191417-6,9/26/2019,19:14:17,875.4103,302.803151,FALSE,FALSE
P00072,32.30714154,-103.9267587,ang20190926t193117-1,9/26/2019,19:31:17,761.671264,247.674922,FALSE,FALSE
P00073,31.95099223,-103.6283936,ang20190926t193117-3,9/26/2019,19:31:17,849.764108,325.834808,FALSE,FALSE
P00015,31.92998203,-103.6212997,ang20190926t193117-4,9/26/2019,19:31:17,1074.75311,596.172305,FALSE,TRUE
P00074,31.88074525,-103.5839027,ang20190926t193117-5,9/26/2019,19:31:17,1748.91409,455.179173,FALSE,FALSE
P00075,32.14293413,-103.7388956,ang20190926t220008-3,9/26/2019,22:00:08,952.517153,385.936688,FALSE,FALSE
P00007,32.02798006,-103.5703298,ang20190926t221757-4,9/26/2019,22:17:57,827.559842,235.786442,FALSE,FALSE
P00002,32.19996673,-103.6730444,ang20190926t223557-2,9/26/2019,22:35:57,1611.16361,308.588581,FALSE,FALSE
P00076,32.55985134,-103.5110975,ang20190927t145113-2,9/27/2019,14:51:13,770.558108,358.656309,FALSE,FALSE
P00077,31.80664136,-104.1710432,ang20190927t151239-1,9/27/2019,15:12:39,458.006694,243.812216,FALSE,FALSE
P00078,31.74192889,-104.094893,ang20190927t151239-2,9/27/2019,15:12:39,2421.26779,809.152267,FALSE,FALSE
P00079,31.6273144,-104.045936,ang20190927t151239-3,9/27/2019,15:12:39,904.294862,277.153799,FALSE,FALSE
P00080,31.65559291,-104.0256642,ang20190927t151239-4,9/27/2019,15:12:39,2159.78761,582.362683,FALSE,TRUE
P00081,32.02107407,-104.302478,ang20190927t153023-2,9/27/2019,15:30:23,787.411614,374.701119,FALSE,FALSE
P00082,31.79161697,-104.1086713,ang20190927t153023-3,9/27/2019,15:30:23,758.432399,242.155034,FALSE,FALSE
P00083,31.78194678,-104.0727148,ang20190927t153023-4,9/27/2019,15:30:23,962.079967,430.375838,FALSE,FALSE
P00084,31.74117711,-104.0930473,ang20190927t153023-5,9/27/2019,15:30:23,2708.66276,933.251038,FALSE,FALSE
P00085,31.65312618,-104.0231185,ang20190927t153023-6,9/27/2019,15:30:23,2431.49544,598.792905,FALSE,TRUE
P00041,31.64820484,-103.9640018,ang20190927t153023-7,9/27/2019,15:30:23,829.189256,287.721866,FALSE,FALSE
P00086,31.43804756,-103.8309822,ang20190927t153023-9,9/27/2019,15:30:23,210.858818,102.433079,FALSE,FALSE
P00087,31.78220715,-104.0655683,ang20190927t154855-1,9/27/2019,15:48:55,1613.11293,786.646157,FALSE,FALSE
P00041,31.6481944,-103.964079,ang20190927t154855-2,9/27/2019,15:48:55,626.593274,150.308464,FALSE,FALSE
P00088,31.64242373,-103.9369567,ang20190927t154855-3,9/27/2019,15:48:55,208.950273,60.2134625,FALSE,FALSE
P00089,31.80912156,-104.0133155,ang20190927t160700-4,9/27/2019,16:07:00,1602.89772,795.103454,FALSE,FALSE
P00046,31.99873955,-104.1263122,ang20190927t162514-1,9/27/2019,16:25:14,3013.47644,593.426553,FALSE,FALSE
P00090,31.66890395,-103.8518441,ang20190927t162514-3,9/27/2019,16:25:14,581.149089,346.913441,FALSE,FALSE
P00091,32.02304277,-104.1194895,ang20190927t164322-1,9/27/2019,16:43:22,625.108449,198.311464,FALSE,FALSE
P00092,31.6104008,-103.6344551,ang20190927t171836-4,9/27/2019,17:18:36,412.439481,161.839436,FALSE,FALSE
P00093,31.52901233,-103.584696,ang20190927t171836-6,9/27/2019,17:18:36,343.349786,86.700667,FALSE,FALSE
