Source identifier ,Source latitude (deg),Source longitude (deg),Source type (best estimate),IPCC sector,Number overflights,Source Persistence (f),Confidence in persistence ,Qsource (kg/hr): Persistence adjusted average source emissions,Sigma Qsource (kg/hr): Uncertainty for persistence adjusted average source emissions
P00001,32.21208635,-103.697212,tank,1B2 Oil & Natural Gas,12,0.833333333,0.968323648,865.4842298,307.3802881
P00002,32.19993678,-103.6733243,tank,1B2 Oil & Natural Gas,12,0.333333333,0.968323648,207.0895042,47.44163426
P00003,32.11613542,-103.6265823,tank,1B2 Oil & Natural Gas,12,0.583333333,0.968323648,305.7006498,97.25497154
P00004,32.32259369,-103.8160722,pipeline,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,157.87675,94.12978818
P00005,32.28427896,-103.7939176,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485,161.4046953,51.06946618
P00006,32.99898132,-102.812484,processing,1B2 Oil & Natural Gas,5,0.8,0.762695313,1410.479729,642.1237192
P00007,32.02779078,-103.5707655,compressor,1B2 Oil & Natural Gas,14,0.785714286,0.982182052,582.0257489,147.3591716
P00008,32.32276356,-103.8142947,pipeline,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,186.7763309,42.53374091
P00009,32.27327568,-103.7980035,tank,1B2 Oil & Natural Gas,10,0.5,0.943686485,439.7151568,167.2121497
P00010,32.26425783,-103.7709077,compressor,1B2 Oil & Natural Gas,11,0.272727273,0.957764864,214.1449069,56.9091417
P00011,31.91262444,-103.5361788,well,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,284.1596955,51.79098445
P00012,32.10884742,-103.7698814,well,1B2 Oil & Natural Gas,10,0.1,0.943686485,566.52427,84.1892531
P00013,32.03489124,-103.6867385,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485,81.8453734,20.43235661
P00014,31.95158414,-103.6136567,tank,1B2 Oil & Natural Gas,11,0.181818182,0.957764864,161.2701855,27.92768727
P00015,31.93010516,-103.6216193,tank,1B2 Oil & Natural Gas,11,0.818181818,0.957764864,706.6062022,236.4764865
P00016,31.67813822,-103.3896293,compressor,1B2 Oil & Natural Gas,6,0.333333333,0.822021484,239.7188803,43.58979028
P00017,32.24555659,-103.9628398,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485,137.565445,46.2580541
P00018,31.64552259,-103.5277496,pipeline,1B2 Oil & Natural Gas,6,0.166666667,0.822021484,124.124472,44.20129333
P00019,32.18628076,-103.9923173,tank,1B2 Oil & Natural Gas,9,0.555555556,0.924915314,578.7937534,178.6005257
P00020,31.70246501,-103.5801911,pipeline,1B2 Oil & Natural Gas,9,1,0.924915314,1079.511566,357.896612
P00021,32.15041322,-103.9960996,compressor,1B2 Oil & Natural Gas,10,0.9,0.943686485,509.7559226,197.2832715
P00022,32.04313601,-103.9368969,well,1B2 Oil & Natural Gas,10,0.1,0.943686485,174.3125945,36.02087075
P00023,31.91587916,-103.859238,compressor,1B2 Oil & Natural Gas,9,0.555555556,0.924915314,330.8862697,137.3808693
P00024,32.10916438,-104.0444968,pipeline,1B2 Oil & Natural Gas,9,0.777777778,0.924915314,339.8875906,149.3562401
P00025,31.71166717,-103.7660318,compressor,1B2 Oil & Natural Gas,7,0.142857143,0.866516113,246.3624879,126.1230831
P00026,31.50193428,-103.6221149,tank,1B2 Oil & Natural Gas,4,0.25,0.68359375,31.22641287,14.60692353
P00027,32.15057366,-104.1970337,compressor,1B2 Oil & Natural Gas,11,0.818181818,0.957764864,470.6463375,158.9679713
P00028,32.43884271,-101.9478346,tank,1B2 Oil & Natural Gas,4,0.75,0.68359375,989.698889,229.5207258
P00029,32.20287949,-101.9448249,tank,1B2 Oil & Natural Gas,5,0.2,0.762695313,627.392642,78.6175492
P00030,31.55292016,-101.9331152,well,1B2 Oil & Natural Gas,6,0.166666667,0.822021484,290.8691467,43.96744117
P00031,32.24409475,-101.9036812,processing,1B2 Oil & Natural Gas,5,0.2,0.762695313,661.624316,164.860078
P00032,31.91077569,-101.8663757,tank,1B2 Oil & Natural Gas,6,0.166666667,0.822021484,290.762685,55.44709333
P00033,32.32393921,-101.8125149,tank,1B2 Oil & Natural Gas,5,0.8,0.762695313,1915.213474,461.4406057
P00034,31.64635027,-101.7645351,processing,1B2 Oil & Natural Gas,5,0.2,0.762695313,2232.97946,420.397256
P00035,31.948482,-104.2798787,compressor,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,41.02346611,26.27818122
P00036,31.74041195,-104.1387873,tank,1B2 Oil & Natural Gas,8,0.125,0.899887085,465.4537513,116.3261549
P00037,31.6273662,-104.0365064,tank,1B2 Oil & Natural Gas,9,0.777777778,0.924915314,388.9951626,157.5154776
P00038,31.78027794,-104.0966731,compressor,1B2 Oil & Natural Gas,10,0.2,0.943686485,389.908816,113.4774094
P00039,31.74203213,-104.0831912,compressor,1B2 Oil & Natural Gas,10,0.3,0.943686485,206.5672964,58.64370148
P00040,31.64853736,-104.0122901,tank,1B2 Oil & Natural Gas,11,0.727272727,0.957764864,632.3315458,166.8607249
P00041,31.64808415,-103.964055,tank,1B2 Oil & Natural Gas,11,0.181818182,0.957764864,204.368345,51.83245791
P00042,31.66665419,-103.9801601,unknown,1B2 Oil & Natural Gas,9,0.777777778,0.924915314,702.6886293,186.5240485
P00043,31.48276945,-103.8125183,tank,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,85.92261044,15.02871011
P00044,31.47555727,-103.797036,well,1B2 Oil & Natural Gas,9,0.222222222,0.924915314,114.7258548,44.69663111
P00045,31.99540097,-104.1751575,compressor,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,33.78469933,20.195451
P00046,31.99843737,-104.1257323,compressor,1B2 Oil & Natural Gas,11,0.636363636,0.957764864,755.1053089,196.2060441
P00047,31.89610789,-104.0477779,tank,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,31.97526556,7.369748433
P00048,31.89540017,-104.0316202,well,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,82.55714222,34.96110289
P00049,32.17124267,-104.2421975,compressor,1B2 Oil & Natural Gas,11,0.181818182,0.957764864,44.7544823,20.40121229
P00050,32.02629622,-104.117813,compressor,1B2 Oil & Natural Gas,12,0.75,0.968323648,320.3850379,121.1784794
P00051,32.06631849,-104.0475013,tank,1B2 Oil & Natural Gas,8,0.125,0.899887085,106.0122939,44.97686388
P00052,31.89602443,-103.9459305,well,1B2 Oil & Natural Gas,7,0.142857143,0.866516113,259.2887171,62.33734486
P00053,31.99931346,-103.9858983,compressor,1B2 Oil & Natural Gas,7,0.142857143,0.866516113,144.6497,54.70687471
P00054,31.91251727,-103.8883826,tank,1B2 Oil & Natural Gas,7,0.142857143,0.866516113,80.012247,32.43756529
P00055,32.19499938,-104.0705143,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485,93.665357,37.6659867
P00056,31.99510881,-103.9153757,tank,1B2 Oil & Natural Gas,9,0.222222222,0.924915314,234.6747387,65.26925172
P00057,31.56386232,-103.556287,well,1B2 Oil & Natural Gas,5,0.2,0.762695313,193.3988236,56.62898
P00058,32.21838267,-104.0325673,compressor,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,70.93076822,15.37330511
P00059,32.17229706,-104.0247116,well,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,102.0314543,26.24831444
P00060,31.61423308,-103.5532003,tank,1B2 Oil & Natural Gas,6,0.333333333,0.822021484,267.1456589,78.61051918
P00061,32.25269193,-104.0273973,compressor,1B2 Oil & Natural Gas,9,0.444444444,0.924915314,277.2939441,108.9535223
P00062,32.21144001,-103.9635331,compressor,1B2 Oil & Natural Gas,9,1,0.924915314,745.7764246,297.7258391
P00063,31.67501262,-103.5704761,pipeline,1B2 Oil & Natural Gas,8,0.125,0.899887085,139.7093225,47.0818485
P00064,31.64740296,-103.5169048,pipeline,1B2 Oil & Natural Gas,6,0.166666667,0.822021484,354.933555,104.3285742
P00065,32.25343328,-103.9682814,well,1B2 Oil & Natural Gas,10,0.1,0.943686485,100.084429,36.4497014
P00066,31.97089694,-103.767776,well,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,56.06496733,20.19194111
P00067,31.95992772,-103.7411227,tank,1B2 Oil & Natural Gas,9,0.222222222,0.924915314,70.43310937,27.35846363
P00068,32.26309346,-103.9344677,compressor,1B2 Oil & Natural Gas,8,0.375,0.899887085,311.8735554,84.03097531
P00069,31.7948249,-103.5611042,compressor,1B2 Oil & Natural Gas,7,0.428571429,0.866516113,252.4608892,106.3032993
P00070,31.7416892,-103.497212,pipeline,1B2 Oil & Natural Gas,6,1,0.822021484,513.5600452,186.2119423
P00071,31.63239962,-103.4330022,tank,1B2 Oil & Natural Gas,4,0.75,0.68359375,293.5858115,93.74748527
P00072,32.30706259,-103.9270886,compressor,1B2 Oil & Natural Gas,10,0.4,0.943686485,297.0326991,82.92424089
P00073,31.95099223,-103.6283936,compressor,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,77.25128255,29.62134618
P00074,31.88111312,-103.5841367,well,1B2 Oil & Natural Gas,11,0.181818182,0.957764864,280.2033064,66.00542955
P00075,32.1428261,-103.7392845,compressor,1B2 Oil & Natural Gas,10,0.7,0.943686485,295.9024119,122.898356
P00076,32.55975917,-103.5111188,tank,1B2 Oil & Natural Gas,2,1,0.4375,532.816434,256.475369
P00077,31.80664136,-104.1710432,compressor,1B2 Oil & Natural Gas,8,0.125,0.899887085,57.25083675,30.476527
P00078,31.74192889,-104.094893,tank,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,269.0297544,89.90580744
P00079,31.6273144,-104.045936,well,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,100.4772069,30.79486656
P00080,31.65579706,-104.0261362,tank,1B2 Oil & Natural Gas,9,0.222222222,0.924915314,373.2459222,110.6982799
P00081,32.02082725,-104.3026018,well,1B2 Oil & Natural Gas,12,0.833333333,0.968323648,509.4453166,159.2471673
P00082,31.79161697,-104.1086713,processing,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,84.27026656,26.90611489
P00083,31.78189459,-104.0727251,pipeline,1B2 Oil & Natural Gas,10,0.3,0.943686485,339.9400225,122.8289028
P00084,31.74117711,-104.0930473,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485,270.866276,93.3251038
P00085,31.65312618,-104.0231185,pipeline,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,221.04504,54.43571864
P00086,31.43804756,-103.8309822,compressor,1B2 Oil & Natural Gas,8,0.125,0.899887085,26.35735225,12.80413488
P00087,31.78216059,-104.0652435,well,1B2 Oil & Natural Gas,10,0.6,0.943686485,930.9713249,282.0826015
P00088,31.64242074,-103.9370572,compressor,1B2 Oil & Natural Gas,11,0.272727273,0.957764864,92.39981965,36.25516659
P00089,31.80953475,-104.0135183,tank,1B2 Oil & Natural Gas,8,0.25,0.899887085,296.0152465,124.4590031
P00090,31.66888716,-103.8516125,compressor,1B2 Oil & Natural Gas,10,0.4,0.943686485,239.242353,148.0589945
P00091,32.02276935,-104.119506,tank,1B2 Oil & Natural Gas,13,0.230769231,0.976242736,139.8204792,33.21946306
P00092,31.61029501,-103.6346515,compressor,1B2 Oil & Natural Gas,6,0.166666667,0.822021484,184.1726809,59.32869192
P00093,31.52901233,-103.584696,pipeline,1B2 Oil & Natural Gas,4,0.25,0.68359375,85.8374465,21.67516675
P00094,32.14998769,-104.0491137,compressor,1B2 Oil & Natural Gas,8,0.375,0.899887085,313.7877511,131.0613803
P00095,32.0643671,-103.9992877,pipeline,1B2 Oil & Natural Gas,10,0.1,0.943686485,116.018995,35.413339
P00096,31.6903334,-103.6605181,tank,1B2 Oil & Natural Gas,8,0.25,0.899887085,172.051588,55.5085855
P00097,32.07970275,-103.9520198,tank,1B2 Oil & Natural Gas,9,0.666666667,0.924915314,461.3023949,155.8036171
P00098,31.84085337,-103.7358944,tank,1B2 Oil & Natural Gas,10,0.2,0.943686485,61.067723,33.75200259
P00099,31.9504378,-103.6698932,well,1B2 Oil & Natural Gas,7,0.142857143,0.866516113,181.36059,57.786192
P00100,32.03532949,-103.6731403,well,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,115.4625333,37.44200944
P00101,31.97248433,-103.6674289,well,1B2 Oil & Natural Gas,10,0.1,0.943686485,40.2455125,23.8168998
P00102,32.19346501,-103.7807271,well,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,53.40408873,18.24079855
P00103,32.07918622,-103.6674747,well,1B2 Oil & Natural Gas,10,0.1,0.943686485,238.400818,116.424752
P00104,31.97216521,-103.6031901,well,1B2 Oil & Natural Gas,12,0.083333333,0.968323648,57.61866483,16.72087492
P00105,31.93938314,-103.5504648,tank,1B2 Oil & Natural Gas,11,0.181818182,0.957764864,316.3548205,64.63290091
P00106,31.87467818,-103.5071346,well,1B2 Oil & Natural Gas,11,0.090909091,0.957764864,146.6526091,42.35051864
P00107,31.74364729,-104.1059159,tank,1B2 Oil & Natural Gas,8,0.375,0.899887085,206.5730724,61.01782426
P00108,31.61492258,-104.0048475,pipeline,1B2 Oil & Natural Gas,8,0.125,0.899887085,181.0063613,71.96369475
P00109,31.79197604,-104.1123182,pipeline,1B2 Oil & Natural Gas,9,0.111111111,0.924915314,116.9443411,43.95446478
P00110,32.17160572,-104.3195726,compressor,1B2 Oil & Natural Gas,10,0.1,0.943686485,32.3636611,23.8558605
P00111,31.9998867,-104.1557161,compressor,1B2 Oil & Natural Gas,10,0.1,0.943686485,370.687622,64.1414492
P00112,31.77225251,-103.9100922,well,1B2 Oil & Natural Gas,10,0.1,0.943686485,151.723292,53.3692513
P00113,32.39639626,-104.3078045,unknown,1B2 Oil & Natural Gas,3,0.333333333,0.578125,617.29139,178.5741203
P00114,31.86065251,-101.7923936,processing,1B2 Oil & Natural Gas,6,0.166666667,0.822021484,964.0123533,226.5127083
P00115,32.37379881,-101.8455053,tank,1B2 Oil & Natural Gas,5,0.4,0.762695313,1242.452172,289.8914068
P00116,32.15478849,-101.9296436,processing,1B2 Oil & Natural Gas,5,0.2,0.762695313,1675.344772,319.4249979
P00117,32.3350267,-103.8146001,tank,1B2 Oil & Natural Gas,10,0.1,0.943686485,44.39890405,22.2595329
P00118,32.30519884,-103.7877749,compressor,1B2 Oil & Natural Gas,10,0.1,0.943686485,28.11595805,12.83229144
